,Portfolio,Weeks_until_Rebalance,Biweekly_Contribution,Worst_Year,Best_Year,Estimated_Annual_Return,Typical_Returns
2281,"'VFINX', 'BIV', 'PRULX', 'OPGSX', 'DJP'",32.0,450.0,-14.15,19.76,8.37,-6.11 to 14.42
3660,"'VFINX', 'BIV', 'VUSTX', 'INIVX', 'DJP'",15.0,450.0,-13.04,19.33,8.37,-6.02 to 14.28
2816,"'PREIX', 'BIV', 'WHOSX', 'INIVX', 'GSG'",50.0,450.0,-12.68,18.65,8.37,-6.7 to 14.49
4668,"'FUSEX', 'IEF', 'VUSTX', 'VGPMX', 'DJP'",34.0,450.0,-12.48,18.42,8.37,-5.16 to 12.31
2089,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'GSG'",43.0,450.0,-11.18,18.61,8.37,-5.46 to 12.77
3906,"'FUSEX', 'IPE', 'VUSTX', 'SGGDX', 'GSP'",16.0,500.0,-14.52,18.54,8.37,-6.85 to 13.03
4661,"'PREIX', 'ITE', 'VUSTX', 'INIVX', 'DJP'",2.0,500.0,-11.58,17.38,8.37,-5.11 to 12.75
1861,"'PREIX', 'IEI', 'PRULX', 'USERX', 'GSG'",44.0,500.0,-10.89,16.45,8.37,-4.86 to 12.33
1970,"'VFINX', 'TIP', 'PRULX', 'USERX', 'GSP'",23.0,550.0,-15.11,19.3,8.37,-5.91 to 12.9
2238,"'VIGRX', 'IPE', 'WHOSX', 'OPGSX', 'GSP'",38.0,550.0,-14.72,21.3,8.37,-7.21 to 14.74
4603,"'SWPPX', 'TIP', 'PRULX', 'USERX', 'DBC'",39.0,550.0,-14.2,19.36,8.37,-5.67 to 13.48
2849,"'SWPPX', 'IPE', 'VUSTX', 'SGGDX', 'DBC'",40.0,550.0,-13.66,18.85,8.37,-6.29 to 13.35
4558,"'FUSEX', 'IEF', 'VUSTX', 'VGPMX', 'GSG'",23.0,550.0,-12.62,17.72,8.37,-5.29 to 12.43
2612,"'PREIX', 'BIV', 'PRULX', 'USERX', 'DBC'",51.0,550.0,-12.44,17.93,8.37,-5.4 to 13.18
4547,"'SWPPX', 'IEI', 'PRULX', 'USERX', 'DJP'",2.0,550.0,-11.2,15.18,8.37,-4.44 to 11.79
1702,"'VFINX', 'IEI', 'VUSTX', 'SGGDX', 'DJP'",11.0,550.0,-10.44,16.14,8.37,-4.71 to 11.07
2573,"'VFINX', 'ITE', 'VUSTX', 'VGPMX', 'GSP'",8.0,600.0,-13.61,16.9,8.37,-6.55 to 12.04
3336,"'FUSEX', 'TIP', 'VUSTX', 'OPGSX', 'DBC'",20.0,700.0,-15.08,20.96,8.37,-6.91 to 14.37
39,"'VIGRX', 'BIV', 'PRULX', 'VGPMX', 'GSP'",17.0,700.0,-14.44,21.0,8.37,-6.06 to 14.21
4338,"'FUSEX', 'IEF', 'WHOSX', 'VGPMX', 'DJP'",15.0,700.0,-12.19,17.87,8.37,-6.16 to 12.25
4428,"'FUSEX', 'ITE', 'WHOSX', 'OPGSX', 'DJP'",7.0,700.0,-11.08,17.29,8.37,-5.31 to 12.22
3992,"'SWPPX', 'IGIB', 'WHOSX', 'VGPMX', 'GSP'",34.0,750.0,-15.25,19.39,8.37,-6.12 to 13.1
2724,"'PREIX', 'BIV', 'PRULX', 'OPGSX', 'GSP'",41.0,750.0,-14.5,19.45,8.37,-6.68 to 13.91
25,"'SWPPX', 'TIP', 'PRULX', 'USERX', 'DJP'",15.0,750.0,-14.48,19.98,8.37,-5.96 to 13.49
582,"'FUSEX', 'ITE', 'WHOSX', 'USERX', 'DBC'",23.0,750.0,-10.68,15.43,8.37,-4.8 to 11.58
1616,"'VFINX', 'BIV', 'VUSTX', 'INIVX', 'GSP'",50.0,800.0,-13.91,18.68,8.37,-6.4 to 14.57
543,"'VIGRX', 'IPE', 'WHOSX', 'SGGDX', 'GSP'",6.0,850.0,-13.8,20.21,8.37,-6.56 to 13.71
1754,"'PREIX', 'HYG', 'WHOSX', 'OPGSX', 'GSP'",18.0,900.0,-18.28,23.96,8.37,-9.62 to 14.69
4028,"'PREIX', 'ITE', 'PRULX', 'SGGDX', 'DJP'",2.0,900.0,-10.69,16.28,8.37,-5.18 to 11.17
449,"'VFINX', 'BIV', 'PRULX', 'VGPMX', 'DBC'",23.0,1000.0,-14.31,18.95,8.37,-5.77 to 13.6
3347,"'SWPPX', 'BIV', 'VUSTX', 'OPGSX', 'DBC'",9.0,1000.0,-13.33,19.41,8.37,-5.95 to 13.95
2699,"'VIGRX', 'IEI', 'PRULX', 'VGPMX', 'GSP'",8.0,1000.0,-12.71,18.85,8.37,-5.35 to 13.34
1234,"'SWPPX', 'IGIB', 'VUSTX', 'OPGSX', 'DBC'",38.0,100.0,-14.48,19.41,8.36,-6.21 to 12.72
1254,"'FUSEX', 'IPE', 'PRULX', 'SGGDX', 'DJP'",12.0,100.0,-14.08,19.57,8.36,-6.81 to 13.03
2292,"'PREIX', 'TIP', 'WHOSX', 'USERX', 'DJP'",13.0,100.0,-13.74,19.65,8.36,-6.38 to 13.5
3823,"'FUSEX', 'IGIB', 'VUSTX', 'USERX', 'GSP'",30.0,100.0,-13.35,19.84,8.36,-5.97 to 13.55
1756,"'PREIX', 'ITE', 'WHOSX', 'OPGSX', 'DBC'",4.0,100.0,-11.21,17.0,8.36,-5.31 to 12.66
1007,"'PREIX', 'IEI', 'VUSTX', 'VGPMX', 'GSG'",51.0,100.0,-10.77,16.82,8.36,-5.54 to 11.62
446,"'VFINX', 'ITE', 'VUSTX', 'SGGDX', 'DBC'",18.0,100.0,-9.72,16.08,8.36,-4.72 to 11.48
3494,"'FUSEX', 'IEI', 'WHOSX', 'VGPMX', 'GSG'",10.0,150.0,-12.1,17.63,8.36,-5.97 to 11.84
3225,"'FUSEX', 'IPE', 'VUSTX', 'USERX', 'GSG'",36.0,200.0,-14.46,19.33,8.36,-5.75 to 13.27
953,"'SWPPX', 'IGIB', 'PRULX', 'SGGDX', 'GSP'",6.0,200.0,-13.94,18.7,8.36,-6.03 to 12.79
240,"'FUSEX', 'IEF', 'PRULX', 'SGGDX', 'DJP'",25.0,200.0,-10.52,16.04,8.36,-5.89 to 11.44
2975,"'VIGRX', 'IGIB', 'WHOSX', 'OPGSX', 'DJP'",33.0,250.0,-13.47,19.74,8.36,-5.54 to 13.24
887,"'VFINX', 'IPE', 'VUSTX', 'USERX', 'GSP'",44.0,300.0,-14.84,20.7,8.36,-6.24 to 14.33
1588,"'SWPPX', 'IGIB', 'PRULX', 'OPGSX', 'DJP'",42.0,300.0,-13.69,19.93,8.36,-5.64 to 12.18
3370,"'SWPPX', 'BIV', 'WHOSX', 'INIVX', 'GSP'",49.0,300.0,-12.92,18.94,8.36,-7.24 to 14.11
4360,"'FUSEX', 'ITE', 'WHOSX', 'INIVX', 'GSP'",6.0,300.0,-11.1,16.69,8.36,-5.86 to 11.84
1486,"'PREIX', 'ITE', 'PRULX', 'INIVX', 'DJP'",19.0,300.0,-10.83,15.81,8.36,-5.08 to 11.82
1479,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'GSG'",19.0,300.0,-10.81,17.7,8.36,-5.49 to 12.08
3616,"'SWPPX', 'IEF', 'VUSTX', 'OPGSX', 'GSG'",16.0,350.0,-12.15,18.32,8.36,-6.04 to 12.88
2836,"'SWPPX', 'IEF', 'PRULX', 'OPGSX', 'GSP'",20.0,350.0,-12.09,17.86,8.36,-6.49 to 12.35
1306,"'FUSEX', 'IEI', 'VUSTX', 'VGPMX', 'DBC'",48.0,350.0,-11.67,17.6,8.36,-5.42 to 12.26
355,"'VIGRX', 'ITE', 'WHOSX', 'USERX', 'DJP'",28.0,350.0,-9.52,17.31,8.36,-4.87 to 12.27
461,"'VFINX', 'IPE', 'PRULX', 'OPGSX', 'GSP'",42.0,400.0,-15.72,21.19,8.36,-7.17 to 14.58
4867,"'SWPPX', 'IPE', 'PRULX', 'USERX', 'GSP'",43.0,400.0,-14.8,19.71,8.36,-6.18 to 13.58
2791,"'PREIX', 'BIV', 'VUSTX', 'SGGDX', 'DBC'",38.0,400.0,-12.67,18.1,8.36,-5.95 to 12.8
3111,"'VIGRX', 'HYG', 'VUSTX', 'INIVX', 'GSP'",36.0,500.0,-19.32,24.11,8.36,-9.78 to 15.44
2149,"'SWPPX', 'BIV', 'PRULX', 'OPGSX', 'DJP'",7.0,500.0,-14.27,19.74,8.36,-6.67 to 13.75
3990,"'VFINX', 'IEF', 'VUSTX', 'SGGDX', 'GSG'",15.0,500.0,-10.95,17.61,8.36,-5.44 to 11.48
3231,"'SWPPX', 'IGIB', 'VUSTX', 'OPGSX', 'DBC'",16.0,550.0,-14.48,19.66,8.36,-6.24 to 13.25
2846,"'VFINX', 'IEF', 'PRULX', 'SGGDX', 'DJP'",32.0,550.0,-10.5,15.65,8.36,-5.08 to 11.65
4633,"'FUSEX', 'IEI', 'PRULX', 'SGGDX', 'DJP'",13.0,550.0,-10.08,16.1,8.36,-5.01 to 11.25
844,"'VFINX', 'IPE', 'PRULX', 'SGGDX', 'DJP'",13.0,600.0,-13.73,19.62,8.36,-6.79 to 13.24
2167,"'SWPPX', 'ITE', 'PRULX', 'USERX', 'DJP'",5.0,600.0,-11.56,15.56,8.36,-4.72 to 11.45
3438,"'PREIX', 'IPE', 'PRULX', 'USERX', 'GSP'",36.0,650.0,-14.65,19.28,8.36,-6.02 to 13.02
2863,"'VFINX', 'IGIB', 'PRULX', 'INIVX', 'GSG'",49.0,650.0,-13.8,19.8,8.36,-6.5 to 13.84
3059,"'VIGRX', 'IPE', 'VUSTX', 'USERX', 'GSP'",41.0,700.0,-14.89,20.82,8.36,-5.51 to 14.23
2466,"'SWPPX', 'BIV', 'VUSTX', 'USERX', 'DBC'",10.0,700.0,-13.28,19.07,8.36,-5.76 to 13.94
3129,"'VFINX', 'BIV', 'WHOSX', 'OPGSX', 'DBC'",43.0,700.0,-12.87,19.76,8.36,-6.84 to 14.52
947,"'FUSEX', 'IGIB', 'PRULX', 'OPGSX', 'GSP'",21.0,750.0,-14.02,20.58,8.36,-6.71 to 12.94
4600,"'FUSEX', 'IPE', 'PRULX', 'VGPMX', 'DBC'",4.0,800.0,-16.23,21.62,8.36,-6.1 to 14.45
1859,"'SWPPX', 'IPE', 'WHOSX', 'VGPMX', 'DBC'",19.0,800.0,-14.69,20.6,8.36,-6.4 to 14.18
1488,"'PREIX', 'TIP', 'WHOSX', 'INIVX', 'DJP'",31.0,800.0,-13.99,19.9,8.36,-6.51 to 13.65
1461,"'VFINX', 'IGIB', 'PRULX', 'SGGDX', 'GSG'",24.0,850.0,-13.29,18.35,8.36,-5.98 to 12.48
4927,"'FUSEX', 'BIV', 'VUSTX', 'VGPMX', 'GSG'",5.0,900.0,-16.03,19.89,8.36,-6.83 to 13.86
1508,"'PREIX', 'BIV', 'PRULX', 'VGPMX', 'GSP'",1.0,900.0,-15.35,20.31,8.36,-6.44 to 13.7
1115,"'SWPPX', 'BIV', 'VUSTX', 'VGPMX', 'DJP'",41.0,900.0,-14.82,19.59,8.36,-6.21 to 13.95
1163,"'PREIX', 'IGIB', 'VUSTX', 'VGPMX', 'DBC'",40.0,900.0,-14.27,20.57,8.36,-6.0 to 14.11
1151,"'PREIX', 'ITE', 'VUSTX', 'SGGDX', 'GSG'",50.0,900.0,-10.59,15.94,8.36,-5.03 to 11.15
1672,"'FUSEX', 'ITE', 'VUSTX', 'OPGSX', 'DBC'",23.0,950.0,-11.97,17.13,8.36,-5.95 to 12.6
4152,"'PREIX', 'IPE', 'VUSTX', 'USERX', 'GSG'",6.0,1000.0,-15.07,19.58,8.36,-5.78 to 13.33
2406,"'PREIX', 'IPE', 'PRULX', 'SGGDX', 'DJP'",38.0,1000.0,-13.87,19.32,8.36,-6.55 to 12.46
287,"'SWPPX', 'TIP', 'WHOSX', 'USERX', 'DBC'",44.0,150.0,-13.47,19.5,8.35,-6.51 to 13.84
3008,"'PREIX', 'BIV', 'WHOSX', 'INIVX', 'DJP'",36.0,150.0,-12.23,18.07,8.35,-6.57 to 13.15
2166,"'VFINX', 'TIP', 'VUSTX', 'INIVX', 'DJP'",2.0,200.0,-14.85,20.37,8.35,-6.94 to 14.21
2947,"'FUSEX', 'TIP', 'WHOSX', 'USERX', 'DJP'",14.0,200.0,-13.93,19.23,8.35,-6.3 to 13.14
2455,"'FUSEX', 'IGIB', 'PRULX', 'SGGDX', 'DJP'",11.0,250.0,-13.17,18.34,8.35,-5.68 to 12.43
3978,"'PREIX', 'ITE', 'VUSTX', 'VGPMX', 'GSP'",45.0,250.0,-12.17,18.52,8.35,-6.18 to 11.92
2147,"'VFINX', 'IGIB', 'VUSTX', 'SGGDX', 'DJP'",9.0,250.0,-11.86,18.78,8.35,-5.08 to 12.74
2997,"'VFINX', 'IEF', 'WHOSX', 'USERX', 'GSP'",11.0,250.0,-11.07,17.35,8.35,-5.47 to 11.04
190,"'VIGRX', 'TIP', 'VUSTX', 'VGPMX', 'GSG'",12.0,300.0,-15.65,22.16,8.35,-5.99 to 14.95
481,"'VFINX', 'IGIB', 'VUSTX', 'SGGDX', 'DJP'",48.0,300.0,-12.53,18.26,8.35,-5.36 to 12.22
2047,"'VIGRX', 'HYG', 'PRULX', 'VGPMX', 'DBC'",7.0,350.0,-20.7,25.65,8.35,-9.39 to 16.48
4904,"'SWPPX', 'ITE', 'VUSTX', 'INIVX', 'GSG'",51.0,350.0,-11.51,16.36,8.35,-5.54 to 11.37
3166,"'SWPPX', 'ITE', 'PRULX', 'INIVX', 'DJP'",25.0,350.0,-11.07,17.24,8.35,-5.07 to 13.08
4929,"'FUSEX', 'HYG', 'WHOSX', 'OPGSX', 'DJP'",40.0,400.0,-18.07,24.61,8.35,-9.33 to 15.02
102,"'FUSEX', 'IPE', 'PRULX', 'INIVX', 'DJP'",34.0,450.0,-14.99,20.82,8.35,-6.71 to 14.49
352,"'VFINX', 'IGIB', 'PRULX', 'OPGSX', 'DJP'",2.0,450.0,-14.55,20.18,8.35,-5.85 to 13.12
1496,"'FUSEX', 'BIV', 'PRULX', 'USERX', 'DBC'",16.0,450.0,-13.23,18.79,8.35,-5.71 to 13.41
1747,"'SWPPX', 'HYG', 'VUSTX', 'SGGDX', 'DBC'",37.0,500.0,-18.65,23.51,8.35,-8.46 to 15.25
3372,"'PREIX', 'BIV', 'WHOSX', 'INIVX', 'DJP'",17.0,500.0,-13.39,18.45,8.35,-6.6 to 13.17
4409,"'VFINX', 'BIV', 'WHOSX', 'SGGDX', 'DBC'",11.0,500.0,-11.93,18.09,8.35,-6.02 to 12.34
3362,"'FUSEX', 'TIP', 'WHOSX', 'INIVX', 'GSP'",27.0,550.0,-14.28,19.54,8.35,-7.57 to 12.68
2645,"'SWPPX', 'IGIB', 'PRULX', 'USERX', 'DJP'",45.0,550.0,-13.66,19.67,8.35,-5.08 to 13.02
4660,"'PREIX', 'BIV', 'PRULX', 'USERX', 'DBC'",3.0,550.0,-13.38,18.72,8.35,-5.44 to 13.36
3809,"'PREIX', 'IPE', 'VUSTX', 'INIVX', 'DJP'",6.0,600.0,-14.94,20.35,8.35,-7.03 to 14.5
1743,"'SWPPX', 'TIP', 'WHOSX', 'SGGDX', 'GSP'",41.0,600.0,-13.65,18.63,8.35,-5.98 to 11.74
4909,"'VFINX', 'TIP', 'VUSTX', 'INIVX', 'GSG'",41.0,650.0,-15.38,20.55,8.35,-6.68 to 14.46
3340,"'FUSEX', 'ITE', 'WHOSX', 'SGGDX', 'DBC'",19.0,650.0,-9.72,15.23,8.35,-5.5 to 10.64
688,"'SWPPX', 'TIP', 'PRULX', 'OPGSX', 'DJP'",23.0,700.0,-15.31,19.84,8.35,-7.02 to 13.74
2199,"'VFINX', 'IEF', 'VUSTX', 'VGPMX', 'GSP'",2.0,700.0,-13.97,18.13,8.35,-6.16 to 12.06
1342,"'PREIX', 'IEI', 'VUSTX', 'OPGSX', 'GSP'",33.0,700.0,-12.61,16.42,8.35,-5.73 to 12.22
4320,"'SWPPX', 'ITE', 'VUSTX', 'INIVX', 'GSP'",44.0,700.0,-11.33,17.79,8.35,-5.72 to 13.23
1476,"'FUSEX', 'IGIB', 'PRULX', 'INIVX', 'GSG'",9.0,750.0,-13.78,19.58,8.35,-5.97 to 13.02
4938,"'PREIX', 'IPE', 'VUSTX', 'OPGSX', 'GSP'",5.0,800.0,-15.94,21.53,8.35,-7.22 to 14.74
100,"'PREIX', 'TIP', 'PRULX', 'OPGSX', 'DJP'",10.0,800.0,-15.54,21.0,8.35,-7.17 to 13.86
3544,"'SWPPX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",31.0,800.0,-11.05,17.55,8.35,-6.21 to 12.68
723,"'FUSEX', 'IGIB', 'WHOSX', 'USERX', 'GSP'",50.0,900.0,-12.87,17.86,8.35,-5.57 to 13.4
1032,"'VFINX', 'IPE', 'PRULX', 'VGPMX', 'GSG'",6.0,950.0,-15.57,21.55,8.35,-6.09 to 14.16
20,"'VIGRX', 'IEI', 'VUSTX', 'INIVX', 'GSP'",52.0,950.0,-10.68,16.65,8.35,-5.28 to 12.39
789,"'PREIX', 'IEI', 'VUSTX', 'VGPMX', 'GSP'",14.0,1000.0,-13.08,18.54,8.35,-5.95 to 12.6
3789,"'FUSEX', 'TIP', 'VUSTX', 'USERX', 'DJP'",32.0,100.0,-14.65,19.7,8.34,-5.7 to 14.41
3948,"'FUSEX', 'ITE', 'PRULX', 'OPGSX', 'GSG'",22.0,100.0,-12.52,17.08,8.34,-5.92 to 12.19
3896,"'VIGRX', 'ITE', 'VUSTX', 'USERX', 'GSP'",3.0,100.0,-12.03,18.05,8.34,-4.02 to 12.67
3833,"'PREIX', 'IEF', 'WHOSX', 'USERX', 'GSG'",10.0,100.0,-11.2,16.55,8.34,-5.27 to 11.4
1355,"'FUSEX', 'IPE', 'PRULX', 'VGPMX', 'GSG'",8.0,150.0,-16.5,21.31,8.34,-6.78 to 13.98
4907,"'SWPPX', 'TIP', 'WHOSX', 'VGPMX', 'GSP'",45.0,150.0,-14.44,21.68,8.34,-6.86 to 13.76
4402,"'SWPPX', 'IPE', 'WHOSX', 'INIVX', 'DBC'",37.0,150.0,-14.02,20.28,8.34,-6.79 to 14.49
1974,"'SWPPX', 'IGIB', 'WHOSX', 'VGPMX', 'DJP'",29.0,150.0,-13.98,19.24,8.34,-6.27 to 12.62
3885,"'PREIX', 'IGIB', 'VUSTX', 'OPGSX', 'DBC'",48.0,150.0,-13.63,19.74,8.34,-6.14 to 14.07
3673,"'SWPPX', 'IGIB', 'WHOSX', 'USERX', 'GSG'",2.0,150.0,-13.49,18.85,8.34,-4.9 to 12.89
1117,"'VFINX', 'ITE', 'PRULX', 'USERX', 'GSG'",11.0,150.0,-11.63,15.26,8.34,-4.78 to 11.25
781,"'VIGRX', 'HYG', 'VUSTX', 'OPGSX', 'DBC'",29.0,200.0,-19.38,25.27,8.34,-9.4 to 15.61
2366,"'PREIX', 'TIP', 'VUSTX', 'VGPMX', 'DJP'",5.0,200.0,-16.52,20.88,8.34,-6.4 to 14.32
3316,"'FUSEX', 'BIV', 'WHOSX', 'VGPMX', 'GSP'",44.0,200.0,-13.53,19.77,8.34,-6.16 to 12.75
1516,"'SWPPX', 'BIV', 'WHOSX', 'USERX', 'GSG'",1.0,200.0,-13.27,18.77,8.34,-6.08 to 13.66
391,"'SWPPX', 'IEI', 'VUSTX', 'VGPMX', 'DBC'",10.0,200.0,-12.89,18.15,8.34,-5.81 to 12.64
2381,"'PREIX', 'IEF', 'VUSTX', 'VGPMX', 'DJP'",20.0,200.0,-12.38,18.05,8.34,-5.42 to 12.37
1737,"'VIGRX', 'BIV', 'PRULX', 'SGGDX', 'DJP'",15.0,200.0,-12.31,19.12,8.34,-5.64 to 12.65
3916,"'VFINX', 'ITE', 'WHOSX', 'VGPMX', 'GSG'",43.0,250.0,-11.54,17.02,8.34,-5.81 to 11.85
4700,"'SWPPX', 'ITE', 'WHOSX', 'USERX', 'DBC'",29.0,250.0,-10.09,15.1,8.34,-5.04 to 11.3
2391,"'SWPPX', 'ITE', 'PRULX', 'SGGDX', 'DJP'",18.0,250.0,-9.99,15.8,8.34,-5.14 to 10.96
1978,"'FUSEX', 'BIV', 'WHOSX', 'USERX', 'GSP'",51.0,300.0,-12.4,17.51,8.34,-5.88 to 12.39
4822,"'SWPPX', 'BIV', 'VUSTX', 'VGPMX', 'GSP'",25.0,350.0,-14.82,19.55,8.34,-6.82 to 13.74
2442,"'SWPPX', 'TIP', 'PRULX', 'USERX', 'DBC'",10.0,350.0,-14.57,19.95,8.34,-6.04 to 13.38
1925,"'SWPPX', 'BIV', 'VUSTX', 'INIVX', 'GSG'",20.0,350.0,-13.58,19.29,8.34,-6.45 to 13.94
4886,"'SWPPX', 'IEF', 'PRULX', 'OPGSX', 'DBC'",22.0,350.0,-11.62,17.73,8.34,-5.67 to 12.87
4347,"'PREIX', 'IPE', 'PRULX', 'OPGSX', 'GSG'",42.0,400.0,-15.68,21.2,8.34,-6.97 to 14.44
663,"'VFINX', 'IPE', 'PRULX', 'OPGSX', 'DJP'",8.0,400.0,-14.82,20.45,8.34,-7.14 to 14.16
1281,"'FUSEX', 'IGIB', 'VUSTX', 'INIVX', 'DJP'",21.0,400.0,-14.1,19.98,8.34,-5.9 to 13.63
402,"'FUSEX', 'TIP', 'WHOSX', 'USERX', 'DJP'",13.0,400.0,-13.81,19.58,8.34,-6.36 to 13.49
2477,"'VIGRX', 'IGIB', 'VUSTX', 'SGGDX', 'GSP'",33.0,400.0,-13.31,19.89,8.34,-5.08 to 13.74
3682,"'FUSEX', 'IEF', 'VUSTX', 'SGGDX', 'DJP'",26.0,400.0,-10.42,15.78,8.34,-5.72 to 11.33
3736,"'VIGRX', 'HYG', 'WHOSX', 'OPGSX', 'GSG'",8.0,450.0,-19.23,24.93,8.34,-9.27 to 14.94
2961,"'FUSEX', 'TIP', 'VUSTX', 'OPGSX', 'DJP'",26.0,450.0,-14.96,20.18,8.34,-6.97 to 14.21
50,"'FUSEX', 'IGIB', 'VUSTX', 'USERX', 'GSP'",36.0,450.0,-13.82,18.98,8.34,-5.83 to 12.14
2604,"'VFINX', 'IEF', 'VUSTX', 'VGPMX', 'DJP'",6.0,450.0,-13.0,18.02,8.34,-5.41 to 12.28
4778,"'SWPPX', 'ITE', 'VUSTX', 'VGPMX', 'DJP'",45.0,450.0,-12.23,18.15,8.34,-5.63 to 12.15
837,"'VFINX', 'IPE', 'PRULX', 'OPGSX', 'GSP'",5.0,500.0,-16.22,21.33,8.34,-7.37 to 14.3
239,"'SWPPX', 'BIV', 'PRULX', 'VGPMX', 'DJP'",24.0,500.0,-14.24,19.03,8.34,-5.96 to 14.25
804,"'PREIX', 'IEF', 'PRULX', 'OPGSX', 'GSG'",23.0,500.0,-12.17,17.99,8.34,-6.11 to 12.32
4650,"'VFINX', 'IEI', 'VUSTX', 'SGGDX', 'GSG'",12.0,500.0,-10.67,16.52,8.34,-5.08 to 11.07
2410,"'SWPPX', 'ITE', 'PRULX', 'SGGDX', 'DJP'",11.0,500.0,-10.35,15.15,8.34,-5.24 to 10.59
1188,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'GSP'",33.0,550.0,-11.72,18.78,8.34,-6.44 to 12.58
1944,"'SWPPX', 'BIV', 'VUSTX', 'USERX', 'GSG'",3.0,600.0,-14.22,19.1,8.34,-5.49 to 14.34
2038,"'SWPPX', 'ITE', 'PRULX', 'USERX', 'DJP'",52.0,600.0,-10.7,15.7,8.34,-4.58 to 10.98
4948,"'VFINX', 'BIV', 'PRULX', 'OPGSX', 'DBC'",15.0,650.0,-13.52,19.74,8.34,-5.83 to 13.8
3392,"'PREIX', 'IEI', 'PRULX', 'SGGDX', 'GSP'",35.0,650.0,-11.17,16.58,8.34,-5.3 to 10.77
3276,"'VFINX', 'IPE', 'VUSTX', 'OPGSX', 'GSG'",52.0,700.0,-14.73,19.74,8.34,-6.6 to 13.64
2013,"'FUSEX', 'IGIB', 'PRULX', 'USERX', 'DBC'",16.0,700.0,-13.28,19.09,8.34,-5.33 to 13.14
2608,"'VFINX', 'TIP', 'WHOSX', 'VGPMX', 'GSP'",19.0,750.0,-15.39,19.86,8.34,-6.29 to 13.69
871,"'VFINX', 'TIP', 'WHOSX', 'USERX', 'DBC'",49.0,750.0,-13.0,19.38,8.34,-6.08 to 14.06
2111,"'FUSEX', 'ITE', 'PRULX', 'OPGSX', 'DBC'",35.0,750.0,-12.07,16.66,8.34,-5.54 to 12.29
2701,"'VFINX', 'IEI', 'WHOSX', 'OPGSX', 'GSP'",50.0,750.0,-10.89,16.13,8.34,-6.03 to 12.34
1597,"'SWPPX', 'IEI', 'WHOSX', 'SGGDX', 'DJP'",8.0,750.0,-9.74,15.88,8.34,-5.82 to 10.96
1074,"'SWPPX', 'IPE', 'WHOSX', 'USERX', 'DJP'",34.0,800.0,-13.78,19.43,8.34,-6.3 to 13.99
2616,"'VFINX', 'ITE', 'VUSTX', 'VGPMX', 'GSP'",18.0,800.0,-12.66,17.83,8.34,-6.35 to 12.2
699,"'PREIX', 'ITE', 'VUSTX', 'INIVX', 'DJP'",22.0,800.0,-10.94,16.89,8.34,-5.39 to 12.57
4557,"'VIGRX', 'IGIB', 'PRULX', 'VGPMX', 'GSG'",6.0,850.0,-15.35,21.17,8.34,-5.86 to 13.94
1490,"'VFINX', 'IEI', 'WHOSX', 'SGGDX', 'DJP'",37.0,850.0,-9.58,15.35,8.34,-4.59 to 10.76
2463,"'SWPPX', 'IPE', 'WHOSX', 'SGGDX', 'DBC'",13.0,900.0,-12.81,19.61,8.34,-6.99 to 13.2
4356,"'VFINX', 'IGIB', 'PRULX', 'USERX', 'DBC'",21.0,900.0,-12.75,19.34,8.34,-4.79 to 13.4
2525,"'FUSEX', 'IEF', 'PRULX', 'INIVX', 'GSG'",3.0,900.0,-12.07,18.08,8.34,-6.14 to 12.21
684,"'VIGRX', 'ITE', 'PRULX', 'OPGSX', 'GSG'",52.0,900.0,-11.27,16.63,8.34,-5.11 to 12.21
1324,"'FUSEX', 'IGIB', 'VUSTX', 'VGPMX', 'GSP'",46.0,950.0,-15.31,20.42,8.34,-7.07 to 12.74
2401,"'VFINX', 'TIP', 'WHOSX', 'VGPMX', 'GSG'",4.0,950.0,-14.87,20.67,8.34,-6.17 to 13.86
2633,"'VIGRX', 'IPE', 'VUSTX', 'INIVX', 'GSG'",44.0,950.0,-14.87,22.04,8.34,-6.77 to 15.35
4925,"'FUSEX', 'IGIB', 'PRULX', 'USERX', 'DBC'",3.0,950.0,-13.52,19.24,8.34,-5.12 to 13.16
3281,"'SWPPX', 'IEI', 'WHOSX', 'VGPMX', 'GSG'",28.0,950.0,-11.15,17.76,8.34,-5.78 to 12.52
797,"'PREIX', 'IGIB', 'PRULX', 'INIVX', 'GSG'",14.0,1000.0,-13.88,19.9,8.34,-6.54 to 13.58
3532,"'SWPPX', 'IGIB', 'VUSTX', 'INIVX', 'GSG'",49.0,1000.0,-13.74,19.53,8.34,-6.57 to 13.69
1963,"'FUSEX', 'ITE', 'VUSTX', 'VGPMX', 'GSG'",29.0,1000.0,-12.65,17.07,8.34,-6.01 to 11.61
4286,"'VFINX', 'IEI', 'WHOSX', 'VGPMX', 'DJP'",35.0,1000.0,-11.22,17.01,8.34,-4.73 to 11.07
1154,"'VIGRX', 'HYG', 'WHOSX', 'INIVX', 'DJP'",10.0,100.0,-18.97,24.9,8.33,-8.95 to 15.41
2515,"'SWPPX', 'IPE', 'PRULX', 'VGPMX', 'DJP'",6.0,100.0,-16.21,21.36,8.33,-6.47 to 14.58
1233,"'FUSEX', 'TIP', 'VUSTX', 'OPGSX', 'DBC'",46.0,150.0,-14.84,20.73,8.33,-6.57 to 14.08
